Kitap İsmi,Yazar
Shantaram,Gregory David Roberts
Batı’da Siyasal Düşünceler,Mehmet Ali Ağaoğulları
Parasız Yatılı,Füruzan
Klinik Görüşme,Rita Sommers Flanagan
Olağanüstü Bir Gece,Stefan Zweig
Kamp Arkadaşları,İpek Ongun
Kahramanın Sonsuz Yolculuğu,Joseph Campbell
Martin Eden,Jack London
Çivisi Çıkmış Dünya,Amin Maalouf
Katre-i Matem,İskender Pala
İnsanlığın Medeniyet Destanı,Roger Garaudy
Uzakların Şarkısı,Kaan Murat Yanık
Kuzuların Sessizliği,Thomas Harris
Çiçek Açmış Genç Kızların Gölgesinde,Marcel Proust
Kişilik Gelişiminde Cezasız Eğitim,Adem Güneş
Issız Kar Taneleri,Kimberley Freeman
Beyaz Filin Gözyaşları,Ellen Marie Wiseman
Cumhuriyetin İlk Yüzyılı 1923 - 2023,İlber Ortaylı
Uyumsuz,Veronica Roth
"Hayat, Evren ve Herşey",Douglas Adams
Donut Arni 2 - Uçan Akrabalar,Laurie Keller
Mrs. Dalloway,Virginia Woolf
Eski Bilgelik,Davut İbrahimoğlu
The 100 - İsyan,Kass Morgan
Vücudunuz Hayır Diyorsa,Gabor Mate
Eğitici Boyama Kitabı - Alfabe,Kolektif
Harfler ve Notalar,Hasan Ali Toptaş
İskoç Savaşçı,Monica McCarty
İki Kişilik Yalnızlık,Sinan Akyüz
İslam'ın Vadettikleri,Roger Garaudy
4N1K - 2: On İkiden Sonra,Büşra Yılmaz
Rüzgarın Adı - Kralkatili Güncesi: 1. Gün,Patrick Rothfuss
Toprak,Buket Uzuner
Çocuğunuz Okurken Sizi Neler Bekler,Ahmet Erol
Çocuk Yasası,Ian McEwan
Türklerin Altın Çağı,İlber Ortaylı
Pokemon Go,Bukku Otaku
Varlık ve Zaman,Martin Heidegger
Aşk Oyunu,Mehtap Serra Kaya
İkili İlişkilerde Duygusal Manipülasyon,Pascale Chapaux-Morelli
Hayat Teselli Bulmaktır,Kemal Sayar
4N1K,Büşra Yılmaz
Mieko ve Beşinci Hazine,Eleanor Coerr
Kemikler Şehri,Cassandra Clare
Yeşil Kafalar 2 - Duvarları Gıdıklanan Okul,Tuğba Coşkuner
